game_id,strategy,total_turns,final_score,max_expression,min_expression,negative_count,negative_rate,phase0_turns,phase1_turns,phase2_turns,phase3_turns,end_board_occupancy
0,GreedyStrategy,29,923256,463532,16,0,0.0000,16,13,0,0,0.6049
1,GreedyStrategy,42,10240,4713,-2095,2,0.1538,17,12,13,0,0.5432
2,GreedyStrategy,35,6972,7168,-714,2,0.2500,17,18,0,0,0.7284
3,GreedyStrategy,44,61182,56097,-609,2,0.1667,20,14,10,0,0.4444
4,GreedyStrategy,42,445484568,444733454,99,0,0.0000,21,18,3,0,0.6420
5,GreedyStrategy,26,6705,5743,-267,1,0.1667,17,9,0,0,0.4568
6,GreedyStrategy,44,3357,1719,-29,2,0.1818,20,17,7,0,0.6667
7,GreedyStrategy,23,929,850,5,0,0.0000,18,5,0,0,0.6420
8,GreedyStrategy,22,2781,3317,-536,1,0.5000,22,0,0,0,0.6667
9,GreedyStrategy,31,1238,3485,-2273,3,0.4286,17,14,0,0,0.7037
10,GreedyStrategy,23,4247040,4213613,3,0,0.0000,18,5,0,0,0.6296
11,GreedyStrategy,20,4434,4393,6,0,0.0000,20,0,0,0,0.6296
12,GreedyStrategy,27,1448379,1431312,27,0,0.0000,18,9,0,0,0.6667
13,GreedyStrategy,21,1835,1125,-19,1,0.2500,16,5,0,0,0.6420
14,GreedyStrategy,29,92601,59830,13,0,0.0000,19,10,0,0,0.4321
15,GreedyStrategy,46,13081637,12987394,-432,1,0.0769,18,14,14,0,0.6049
16,GreedyStrategy,24,52736,41427,-29,1,0.1667,18,6,0,0,0.4444
17,GreedyStrategy,61,5026,4779,-589,2,0.1250,20,20,21,0,0.6667
18,GreedyStrategy,24,358998,354913,83,0,0.0000,19,5,0,0,0.6667
19,GreedyStrategy,25,182412,176269,0,0,0.0000,20,5,0,0,0.4074
20,GreedyStrategy,31,2430,763,3,0,0.0000,19,12,0,0,0.5679
21,GreedyStrategy,41,6974,2336,-270,4,0.3333,18,15,8,0,0.6173
22,GreedyStrategy,37,28167,19605,-64,2,0.1818,16,14,7,0,0.5926
23,GreedyStrategy,42,51073,32729,16,0,0.0000,19,10,13,0,0.6914
24,GreedyStrategy,32,747,563,-5,1,0.1667,19,13,0,0,0.6790
25,GreedyStrategy,33,37168,31219,-6,1,0.1000,12,14,7,0,0.4815
26,GreedyStrategy,29,15655,17165,-3062,1,0.1429,18,11,0,0,0.5185
27,GreedyStrategy,23,3985,3314,-31,1,0.2000,20,3,0,0,0.3951
28,GreedyStrategy,28,28256,23996,0,0,0.0000,16,12,0,0,0.6296
29,GreedyStrategy,18,2751,2751,2751,0,0.0000,18,0,0,0,0.6914
30,GreedyStrategy,60,56340,53289,-4109,3,0.1667,20,14,26,0,0.5802
31,GreedyStrategy,39,15902,7656,47,0,0.0000,21,15,3,0,0.5432
32,GreedyStrategy,45,56237199,50867646,-798,2,0.1538,17,15,13,0,0.6173
33,GreedyStrategy,11,635,635,635,0,0.0000,11,0,0,0,0.3951
34,GreedyStrategy,52,-21826,38531,-71277,3,0.1765,18,16,18,0,0.5309
35,GreedyStrategy,22,7955578,4319243,44,0,0.0000,21,1,0,0,0.5309
36,GreedyStrategy,27,2428894,2425265,62,0,0.0000,19,8,0,0,0.6173
37,GreedyStrategy,26,6111,5439,54,0,0.0000,22,4,0,0,0.5185
38,GreedyStrategy,24,285279,189837,55,0,0.0000,18,6,0,0,0.4691
39,GreedyStrategy,29,5124,4609,34,0,0.0000,17,12,0,0,0.6420
40,GreedyStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.5185
41,GreedyStrategy,41,299585011,298619831,-44,1,0.0909,17,16,8,0,0.6420
42,GreedyStrategy,29,36946961,36782927,8,0,0.0000,18,11,0,0,0.6667
43,GreedyStrategy,26,6388,8016,-1743,1,0.2000,18,8,0,0,0.5802
44,GreedyStrategy,51,21707,8175,-1286,1,0.0714,20,14,17,0,0.6790
45,GreedyStrategy,31,4737119,4736344,0,0,0.0000,18,13,0,0,0.5309
46,GreedyStrategy,26,5628,3917,-30,1,0.2000,17,9,0,0,0.6296
47,GreedyStrategy,27,310,410,-356,2,0.3333,15,12,0,0,0.6296
48,GreedyStrategy,26,9055,6362,112,0,0.0000,21,5,0,0,0.5679
49,GreedyStrategy,42,17853106,13107493,-550,3,0.2727,14,19,9,0,0.6420
50,GreedyStrategy,23,219974,115396,109,0,0.0000,17,6,0,0,0.6296
51,GreedyStrategy,47,6153568,6045722,-37,1,0.0667,16,14,17,0,0.5679
52,GreedyStrategy,36,1530177,1365627,-6666,1,0.1111,21,15,0,0,0.6914
53,GreedyStrategy,33,2467276,2442123,6,0,0.0000,20,13,0,0,0.4444
54,GreedyStrategy,36,242362,142844,-615,1,0.1111,17,19,0,0,0.6914
55,GreedyStrategy,42,443078,435378,-843,1,0.0909,19,12,11,0,0.6420
56,GreedyStrategy,35,5061661,4214215,3,0,0.0000,19,16,0,0,0.5926
57,GreedyStrategy,31,290705,281142,5,0,0.0000,19,12,0,0,0.5926
58,GreedyStrategy,34,1297,546,8,0,0.0000,21,13,0,0,0.5556
59,GreedyStrategy,29,18862213,18847776,29,0,0.0000,19,10,0,0,0.5556
60,GreedyStrategy,50,561568272,551712430,-353,2,0.1250,11,18,21,0,0.5679
61,GreedyStrategy,53,240832933,239675531,-17,2,0.1333,19,14,20,0,0.6914
62,GreedyStrategy,21,3143,3142,1,0,0.0000,21,0,0,0,0.7160
63,GreedyStrategy,27,2086088,2452331,-333168,2,0.3333,18,9,0,0,0.6049
64,GreedyStrategy,15,6967,5452,1515,0,0.0000,15,0,0,0,0.5556
65,GreedyStrategy,19,7048,6423,2,0,0.0000,17,2,0,0,0.4074
66,GreedyStrategy,30,1470101,1459965,25,0,0.0000,18,12,0,0,0.5926
67,GreedyStrategy,21,14476,11219,7,0,0.0000,15,6,0,0,0.5309
68,GreedyStrategy,31,7874143,4716370,3,0,0.0000,15,16,0,0,0.5926
69,GreedyStrategy,35,429035,355746,-4,1,0.1250,19,16,0,0,0.6049
