game_id,turn,phase,clear_count,board_occupancy,expression_result,combo_multiplier,num_tiles,op_tiles,blank_tiles
0,1,0,0,0.0494,0,1.00,4,1,0
0,2,0,0,0.0988,0,1.00,4,1,0
0,3,0,0,0.1481,0,1.00,4,1,1
0,4,0,0,0.1975,0,1.00,4,1,0
0,5,0,0,0.2469,0,1.00,4,1,1
0,6,0,0,0.2963,0,1.00,4,0,0
0,7,0,1,0.2346,170,1.00,4,2,0
0,8,0,0,0.2840,0,1.00,4,2,0
0,9,0,1,0.2099,458869,1.00,3,1,0
0,10,0,0,0.2469,0,1.00,3,0,1
0,11,0,1,0.1852,463532,1.00,4,0,0
0,12,0,0,0.2346,0,1.00,4,0,0
0,13,0,0,0.2716,0,1.00,3,0,0
0,14,0,0,0.3210,0,1.00,4,2,0
0,15,0,0,0.3704,0,1.00,4,1,2
0,16,0,0,0.4815,0,1.00,9,2,2
0,17,1,1,0.4198,71,1.00,4,2,0
0,18,1,1,0.3580,51,1.10,4,3,1
0,19,1,0,0.4074,0,1.00,4,1,0
0,20,1,1,0.3457,542,1.00,4,1,1
0,21,1,0,0.3827,0,1.00,3,1,0
0,22,1,0,0.3951,0,1.00,1,0,0
0,23,1,0,0.4321,0,1.00,3,2,0
0,24,1,0,0.4815,0,1.00,4,2,0
0,25,1,0,0.5309,0,1.00,4,0,1
0,26,1,0,0.5802,0,1.00,4,1,0
0,27,1,1,0.5062,16,1.00,3,2,1
0,28,1,0,0.5556,0,1.00,4,2,0
0,29,1,0,0.6049,0,1.00,4,1,1
1,1,0,0,0.0494,0,1.00,4,1,1
1,2,0,0,0.1111,0,1.00,5,1,2
1,3,0,0,0.1605,0,1.00,4,1,1
1,4,0,0,0.2099,0,1.00,4,1,1
1,5,0,1,0.1481,4,1.00,4,0,1
1,6,0,0,0.1728,0,1.00,2,1,0
1,7,0,0,0.2099,0,1.00,3,0,0
1,8,0,0,0.2593,0,1.00,4,1,1
1,9,0,0,0.3086,0,1.00,4,1,2
1,10,0,0,0.3580,0,1.00,4,0,1
1,11,0,0,0.4074,0,1.00,4,1,1
1,12,0,1,0.3333,4713,1.00,3,1,0
1,13,0,0,0.3827,0,1.00,4,2,0
1,14,0,1,0.3086,87,1.00,3,1,1
1,15,0,0,0.3580,0,1.00,4,2,1
1,16,0,0,0.4074,0,1.00,4,1,0
1,17,0,0,0.4568,0,1.00,4,1,1
1,18,1,1,0.4568,-52,1.00,9,1,2
