game_id,strategy,total_turns,final_score,max_expression,min_expression,negative_count,negative_rate,phase0_turns,phase1_turns,phase2_turns,phase3_turns,end_board_occupancy
0,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6173
1,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5556
2,RandomStrategy,8,0,0,0,0,0.0000,8,0,0,0,0.3827
3,RandomStrategy,12,66700,66700,66700,0,0.0000,12,0,0,0,0.5062
4,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5802
5,RandomStrategy,17,7134,6712,422,0,0.0000,17,0,0,0,0.5926
6,RandomStrategy,24,5052,4973,-16,2,0.5000,21,3,0,0,0.6543
7,RandomStrategy,20,-25,3,-28,1,0.5000,20,0,0,0,0.6049
8,RandomStrategy,15,126,126,126,0,0.0000,15,0,0,0,0.5926
9,RandomStrategy,18,974910860,974832613,78220,0,0.0000,18,0,0,0,0.5556
10,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.5802
11,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5926
12,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5556
13,RandomStrategy,17,16,16,16,0,0.0000,17,0,0,0,0.6543
14,RandomStrategy,18,9497,9489,8,0,0.0000,18,0,0,0,0.6173
15,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5679
16,RandomStrategy,19,9329,9316,13,0,0.0000,19,0,0,0,0.5926
17,RandomStrategy,16,513423,513423,513423,0,0.0000,16,0,0,0,0.5556
18,RandomStrategy,19,465246,465242,4,0,0.0000,19,0,0,0,0.6173
19,RandomStrategy,21,236416,221370,31,0,0.0000,18,3,0,0,0.6173
20,RandomStrategy,10,0,0,0,0,0.0000,10,0,0,0,0.5185
21,RandomStrategy,19,-401,161,-642,2,0.5000,14,5,0,0,0.5802
22,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.5679
23,RandomStrategy,10,0,0,0,0,0.0000,10,0,0,0,0.6173
24,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5556
25,RandomStrategy,16,93,93,93,0,0.0000,16,0,0,0,0.6790
26,RandomStrategy,7,0,0,0,0,0.0000,7,0,0,0,0.3704
27,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.5926
28,RandomStrategy,17,7423,7423,7423,0,0.0000,17,0,0,0,0.6296
29,RandomStrategy,14,70,70,70,0,0.0000,14,0,0,0,0.5556
30,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6173
31,RandomStrategy,20,127,93,3,0,0.0000,20,0,0,0,0.5432
32,RandomStrategy,17,6875,6875,6875,0,0.0000,17,0,0,0,0.6914
33,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5432
34,RandomStrategy,21,16683,16150,3,0,0.0000,21,0,0,0,0.6543
35,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.5185
36,RandomStrategy,24,5060,5113,-156,1,0.3333,24,0,0,0,0.6543
37,RandomStrategy,16,1,1,1,0,0.0000,16,0,0,0,0.6173
38,RandomStrategy,33,42627585,42557311,5,0,0.0000,21,12,0,0,0.6914
39,RandomStrategy,18,-209464,53365,-262829,1,0.5000,18,0,0,0,0.5926
40,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5802
41,RandomStrategy,18,-18,-18,-18,1,1.0000,18,0,0,0,0.7037
42,RandomStrategy,7,0,0,0,0,0.0000,7,0,0,0,0.3333
43,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.7037
44,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6049
45,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5556
46,RandomStrategy,18,1,27,-26,1,0.5000,18,0,0,0,0.6296
47,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5679
48,RandomStrategy,18,4,4,4,0,0.0000,18,0,0,0,0.6667
49,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6173
50,RandomStrategy,13,5,5,5,0,0.0000,13,0,0,0,0.6543
51,RandomStrategy,18,80,80,80,0,0.0000,18,0,0,0,0.6296
52,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.6914
53,RandomStrategy,18,1,1,1,0,0.0000,18,0,0,0,0.6914
54,RandomStrategy,14,650,650,650,0,0.0000,14,0,0,0,0.4691
55,RandomStrategy,19,-12,-12,-12,1,1.0000,19,0,0,0,0.6543
56,RandomStrategy,22,697141,667830,6,0,0.0000,16,6,0,0,0.5926
57,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5556
58,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.6543
59,RandomStrategy,18,772,772,772,0,0.0000,18,0,0,0,0.6296
60,RandomStrategy,15,26,26,26,0,0.0000,15,0,0,0,0.5926
61,RandomStrategy,11,-1015,-1015,-1015,1,1.0000,11,0,0,0,0.3951
62,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5062
63,RandomStrategy,27,310537,192808,3,0,0.0000,19,8,0,0,0.6667
64,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5679
65,RandomStrategy,16,216,216,216,0,0.0000,16,0,0,0,0.6049
66,RandomStrategy,10,0,0,0,0,0.0000,10,0,0,0,0.4444
67,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6420
68,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.5309
69,RandomStrategy,16,7176,7176,7176,0,0.0000,16,0,0,0,0.6049
70,RandomStrategy,22,447127,225464,221663,0,0.0000,22,0,0,0,0.6296
71,RandomStrategy,22,55,45,10,0,0.0000,22,0,0,0,0.6790
72,RandomStrategy,14,28,28,28,0,0.0000,14,0,0,0,0.6173
73,RandomStrategy,15,7668,7668,7668,0,0.0000,15,0,0,0,0.6667
74,RandomStrategy,15,1935,1935,1935,0,0.0000,15,0,0,0,0.6790
75,RandomStrategy,17,11,11,11,0,0.0000,17,0,0,0,0.6049
76,RandomStrategy,18,124,104,20,0,0.0000,18,0,0,0,0.5802
77,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.6790
78,RandomStrategy,22,47371,47371,47371,0,0.0000,22,0,0,0,0.7654
79,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6420
80,RandomStrategy,13,1509,1509,1509,0,0.0000,13,0,0,0,0.5309
81,RandomStrategy,16,7416322,7416322,7416322,0,0.0000,16,0,0,0,0.6173
82,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5802
83,RandomStrategy,14,2345,2345,2345,0,0.0000,14,0,0,0,0.5679
84,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6790
85,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.4691
86,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5802
87,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6049
88,RandomStrategy,18,5405,5372,33,0,0.0000,18,0,0,0,0.5679
89,RandomStrategy,18,2473,2473,2473,0,0.0000,18,0,0,0,0.5926
90,RandomStrategy,24,1728,1566,162,0,0.0000,24,0,0,0,0.7160
91,RandomStrategy,16,3661126,3661126,3661126,0,0.0000,16,0,0,0,0.5802
92,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.4815
93,RandomStrategy,15,4724,4724,4724,0,0.0000,15,0,0,0,0.6667
94,RandomStrategy,10,0,0,0,0,0.0000,10,0,0,0,0.4691
95,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.5556
96,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5062
97,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6790
98,RandomStrategy,19,451820,451820,451820,0,0.0000,19,0,0,0,0.6790
99,RandomStrategy,8,0,0,0,0,0.0000,8,0,0,0,0.3580
100,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6420
101,RandomStrategy,19,27,27,27,0,0.0000,19,0,0,0,0.6420
102,RandomStrategy,18,99,99,99,0,0.0000,18,0,0,0,0.6543
103,RandomStrategy,23,42,47,-30,1,0.3333,18,5,0,0,0.6296
104,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.7531
105,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6173
106,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6049
107,RandomStrategy,17,748,748,748,0,0.0000,17,0,0,0,0.6420
108,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6543
109,RandomStrategy,17,0,0,0,0,0.0000,17,0,0,0,0.6790
110,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.5432
111,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5556
112,RandomStrategy,16,-49,-49,-49,1,1.0000,16,0,0,0,0.7284
113,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6296
114,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5679
115,RandomStrategy,16,764,759,5,0,0.0000,16,0,0,0,0.4691
116,RandomStrategy,20,99,69,30,0,0.0000,20,0,0,0,0.6049
117,RandomStrategy,19,34354,29318,63,0,0.0000,19,0,0,0,0.5556
118,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.7037
119,RandomStrategy,16,1281,1248,33,0,0.0000,16,0,0,0,0.5185
120,RandomStrategy,23,7642869,7642185,8,0,0.0000,23,0,0,0,0.6543
121,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6667
122,RandomStrategy,10,0,0,0,0,0.0000,10,0,0,0,0.4815
123,RandomStrategy,17,0,0,0,0,0.0000,17,0,0,0,0.7407
124,RandomStrategy,30,14343,5453,58,0,0.0000,20,10,0,0,0.6790
125,RandomStrategy,19,6,6,6,0,0.0000,19,0,0,0,0.7778
126,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5432
127,RandomStrategy,29,45957,45559,-3,1,0.1667,17,12,0,0,0.5926
128,RandomStrategy,16,72,57,15,0,0.0000,16,0,0,0,0.5185
129,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6049
130,RandomStrategy,28,172173,138671,73,0,0.0000,19,9,0,0,0.6543
131,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6049
132,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6543
133,RandomStrategy,11,1139,1139,1139,0,0.0000,11,0,0,0,0.4938
134,RandomStrategy,18,16,16,16,0,0.0000,18,0,0,0,0.6914
135,RandomStrategy,23,25029,24854,8,0,0.0000,23,0,0,0,0.7037
136,RandomStrategy,20,56998,57012,-14,1,0.5000,20,0,0,0,0.6667
137,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.6790
138,RandomStrategy,20,5799,5799,5799,0,0.0000,20,0,0,0,0.7284
139,RandomStrategy,10,0,0,0,0,0.0000,10,0,0,0,0.4444
140,RandomStrategy,15,100,100,100,0,0.0000,15,0,0,0,0.6296
141,RandomStrategy,18,41,41,41,0,0.0000,18,0,0,0,0.6667
142,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.5679
143,RandomStrategy,22,688,584,14,0,0.0000,17,5,0,0,0.6543
144,RandomStrategy,21,16662,17137,-475,1,0.5000,21,0,0,0,0.6667
145,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.4691
146,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6420
147,RandomStrategy,26,8718,8343,2,0,0.0000,21,5,0,0,0.6667
148,RandomStrategy,20,281568,281568,281568,0,0.0000,20,0,0,0,0.7284
149,RandomStrategy,18,321,320,1,0,0.0000,18,0,0,0,0.6049
150,RandomStrategy,19,8297,7817,215,0,0.0000,19,0,0,0,0.5432
151,RandomStrategy,10,0,0,0,0,0.0000,10,0,0,0,0.4938
152,RandomStrategy,19,-514,-514,-514,1,1.0000,19,0,0,0,0.7160
153,RandomStrategy,15,62443,62443,62443,0,0.0000,15,0,0,0,0.5185
154,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6296
155,RandomStrategy,25,6119,3094,320,0,0.0000,14,11,0,0,0.5802
156,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.6667
157,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.5062
158,RandomStrategy,21,3229,2748,481,0,0.0000,21,0,0,0,0.6420
159,RandomStrategy,19,3111554,3111163,3,0,0.0000,19,0,0,0,0.6173
160,RandomStrategy,21,151636,151354,282,0,0.0000,21,0,0,0,0.6420
161,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6296
162,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.4815
163,RandomStrategy,17,941729,941155,59,0,0.0000,17,0,0,0,0.4815
164,RandomStrategy,24,143,103,40,0,0.0000,24,0,0,0,0.7531
165,RandomStrategy,9,0,0,0,0,0.0000,9,0,0,0,0.4198
166,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6667
167,RandomStrategy,18,7365,7322,43,0,0.0000,18,0,0,0,0.5802
168,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6667
169,RandomStrategy,16,69,56,13,0,0.0000,16,0,0,0,0.5802
170,RandomStrategy,26,19341,16504,-5539,1,0.2000,21,5,0,0,0.5926
171,RandomStrategy,21,-120,26,-150,1,0.3333,21,0,0,0,0.6296
172,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6173
173,RandomStrategy,20,3722,3476,246,0,0.0000,20,0,0,0,0.5679
174,RandomStrategy,9,0,0,0,0,0.0000,9,0,0,0,0.3951
175,RandomStrategy,16,3422,3422,3422,0,0.0000,16,0,0,0,0.5802
176,RandomStrategy,15,44,44,44,0,0.0000,15,0,0,0,0.6173
177,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6420
178,RandomStrategy,17,24648,24648,24648,0,0.0000,17,0,0,0,0.6296
179,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5926
180,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.5679
181,RandomStrategy,18,5,5,5,0,0.0000,18,0,0,0,0.6914
182,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5309
183,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.5062
184,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6667
185,RandomStrategy,16,1175,1175,1175,0,0.0000,16,0,0,0,0.6049
